id;store_name;store_status;timestamp
1;Unbranded Wooden Shirt repurpose;Keyboard Accounts;2020-03-04T23:04:47
2;Horizontal Soft Tennessee;Cotton collaborative implementation;2020-03-05T13:49:06
3;Cheese Vista;Quality-focused sensor;2020-03-05T04:35:53
4;Pants;Wooden payment;2020-03-04T20:17:34
5;middleware;Michigan COM Horizontal;2020-03-05T14:30:17
6;Future Shirt Awesome Granite Chicken;system driver;2020-03-05T08:43:05
7;digital;1080p alarm Lock;2020-03-05T02:05:47
8;Jordanian Dinar access Tala;generating Jewelery payment;2020-03-05T03:00:11
9;Corporate Cotton;task-force South Carolina;2020-03-05T16:37:42
10;Digitized parsing Course;synergize;2020-03-05T15:36:01
